recipient,grant_count
nan,85
"University of California, Berkeley",41
Stanford University,38
Berkeley Existential Risk Initiative,31
Evidence Action,30
Rethink Priorities,24
Center for Global Development,23
Centre for Effective Altruism,21
FAR AI,15
The Humane League,14
Harvard University,13
University of Pennsylvania,13
Eurogroup for Animals,13
Malaria Consortium,13
Compassion in World Farming,13
"80,000 Hours",13
Centre for the Governance of AI,12
Cambridge Boston Alignment Initiative,12
University of Oxford,12
Yale University,11
Effective Ventures Foundation,11
Mercy For Animals,11
GiveDirectly,11
GiveWell,11
Effective Ventures Foundation USA,10
